dataset,n_subsets,auc_pred,auc_att,seed
logic8,16,0.98773,0.9026946061770788,5
logic8,16,0.99081,0.9527585328813015,6
logic8,16,0.98244,0.9131454611958231,7
logic8,16,0.99252,0.9604445110944593,8
logic8,16,0.98696,0.9495380450746569,9
logic8,39,0.98886,0.9450931485221806,0
logic8,39,0.9916,0.9511210779621706,1
logic8,39,0.98712,0.9474918698747357,2
logic8,39,0.98179,0.8963084991851871,3
logic8,39,0.99137,0.9325320236388484,4
logic8,39,0.99208,0.944752464530824,5
logic8,39,0.98775,0.9460307961385869,6
logic8,39,0.99228,0.9577187218028957,7
logic8,39,0.99064,0.9516732036861231,8
logic8,39,0.9908,0.9623864188109588,9
logic8,77,0.98691,0.9498000542571717,0
logic8,77,0.99098,0.9648996343784941,1
logic8,77,0.98718,0.9757618777926906,2
logic8,77,0.98845,0.9659135033155192,3
logic8,77,0.98924,0.9627384413519723,4
logic8,77,0.99182,0.9668823668729046,5
logic8,77,0.98911,0.9504626680932375,6
logic8,77,0.99032,0.9620200088824241,7
logic8,77,0.99048,0.9501968133899533,8
logic8,77,0.99154,0.9379433012811128,9
logic8,155,0.99278,0.9627473771060078,0
logic8,155,0.98756,0.9721203195821945,1
logic8,155,0.98769,0.9588557880609174,2
logic8,155,0.98915,0.9727320982933527,3
logic8,155,0.98596,0.9709214394492911,4
logic8,155,0.98538,0.971419330129337,5
logic8,155,0.9871,0.9236449379236987,6
logic8,155,0.98756,0.9597329365002001,7
logic8,155,0.99166,0.9541472620582886,8
logic8,155,0.98673,0.9599001099500665,9
logic10,1,0.98207,0.6286910887408047,0
logic10,1,0.97976,0.5935839160839161,1
logic10,1,0.98068,0.6278148463639536,2
logic10,1,0.98656,0.7079151097819929,3
logic10,1,0.98172,0.6008566909956927,4
logic10,1,0.98601,0.6840094821304238,5
logic10,1,0.98761,0.6484146037494253,6
logic10,1,0.98183,0.5896814540077526,7
logic10,1,0.98157,0.5303178914339629,8
logic10,1,0.98128,0.6747271936892473,9
logic10,2,0.96707,0.6409753372867212,0
logic10,2,0.95355,0.6587015475111558,1
logic10,2,0.94948,0.6933923787533265,2
logic10,2,0.96006,0.6569592793626378,3
logic10,2,0.95261,0.6342539895507632,4
logic10,2,0.9626,0.6178642306298049,5
logic10,2,0.94899,0.6888781286861138,6
logic10,2,0.92579,0.7119282681153624,7
logic10,2,0.95832,0.6858595016995991,8
logic10,2,0.97381,0.7014376867326847,9
logic10,4,0.98135,0.6005184544216606,0
logic10,4,0.97828,0.6172537614126493,1
logic10,4,0.97912,0.6442597635048933,2
logic10,4,0.98082,0.6206833668450956,3
logic10,4,0.98236,0.5691848562242231,4
logic10,4,0.981,0.5969698467567787,5
logic10,4,0.98023,0.6121164673620031,6
logic10,4,0.97986,0.6260999115422817,7
logic10,4,0.98157,0.5704735765226837,8
logic10,4,0.98026,0.591409548919695,9
logic10,8,0.95172,0.6613274145531146,0
logic10,8,0.95558,0.6728432331557331,1
logic10,8,0.95831,0.6508970733394942,2
logic10,8,0.96973,0.6599987168709267,3
logic10,8,0.95777,0.625032757167751,4
logic10,8,0.9566,0.7268450504390541,5
logic10,8,0.95645,0.6431870984579994,6
logic10,8,0.95392,0.6690292585300702,7
logic10,8,0.96716,0.6344367532719806,8
logic10,8,0.95877,0.6860977481325492,9
logic10,16,0.95648,0.6708120450414484,0
logic10,16,0.96807,0.6224931420040998,1
logic10,16,0.95402,0.6982908926278447,2
logic10,16,0.9629,0.6602348783071186,3
logic10,16,0.96211,0.6695774122950462,4
logic10,16,0.96314,0.6513102802061302,5
logic10,16,0.96896,0.6195904664644518,6
logic10,16,0.94377,0.6703728802143473,7
logic10,16,0.97861,0.6393820635871164,8
logic10,16,0.9532,0.6471582539878502,9
logic10,39,0.94055,0.6934342061201334,0
logic10,39,0.95121,0.6838968625733033,1
logic10,39,0.9596,0.6415935047433627,2
logic10,39,0.9785,0.6829974111668005,3
logic10,39,0.97317,0.7275441972968861,4
logic10,39,0.97779,0.7064613170244259,5
logic10,39,0.97573,0.7350261987741697,6
logic10,39,0.92691,0.6992268408674658,7
logic10,39,0.97964,0.6548042762612568,8
logic10,39,0.97289,0.6947674101691959,9
logic10,77,0.96756,0.6567369436119436,0
logic10,77,0.96072,0.7154587569492197,1
logic10,77,0.95915,0.7322411767074917,2
logic10,77,0.96542,0.6905923258064085,3
logic10,77,0.95726,0.7486174035763119,4
logic10,77,0.96233,0.818906645950325,5
logic10,77,0.96462,0.7221191723984439,6
logic10,77,0.96506,0.7270580029863716,7
logic10,77,0.96766,0.6937258141164391,8
logic10,77,0.96756,0.7221344278185288,9
logic10,155,0.96341,0.6999896082678144,0
logic10,155,0.96019,0.6822187276783461,1
logic10,155,0.95668,0.7113130840119476,2
logic10,155,0.96274,0.7272138666933715,3
logic10,155,0.95969,0.7808058313833983,4
logic10,155,0.96215,0.6647157572766338,5
logic10,155,0.96155,0.7102253797789512,6
logic10,155,0.96759,0.6945348216898541,7
logic10,155,0.95491,0.7320200893983362,8
logic10,155,0.96691,0.6528830675096909,9
benzene,1,0.99998,0.9733408764538006,0
benzene,1,0.99997,0.9945561838836692,1
benzene,1,0.99999,0.8272352564986722,2
benzene,1,0.99997,0.9678086684767756,3
benzene,1,0.99999,0.9861432898999549,4
benzene,1,0.99999,0.9808441403649809,5
benzene,1,1.0,0.9153857799851666,6
benzene,1,1.0,0.925390943600653,7
benzene,1,1.0,0.9486187554965505,8
benzene,1,0.99999,0.7108044937600034,9
benzene,2,0.99999,0.9079395624445649,0
benzene,2,0.99999,0.9918297535622097,1
benzene,2,0.99995,0.9970961020109628,2
benzene,2,0.99999,0.9945173263967697,3
benzene,2,0.99998,0.9565018413405927,4
benzene,2,0.99998,0.9976113224454871,5
benzene,2,0.99999,0.9904168939040943,6
benzene,2,0.99997,0.9756646636970352,7
benzene,2,0.99997,0.9960753015351111,8
benzene,2,0.99998,0.9680134019381956,9
benzene,5,0.99997,0.9671661986210204,0
benzene,5,0.99997,0.9957015470187698,1
benzene,5,0.99999,0.9947013175638405,2
benzene,5,1.0,0.9967185725233828,3
benzene,5,0.99999,0.9798233051565525,4
